eval_results_tag,Chat,Chat Hard,Safety,Reasoning
lr_5e-5-epochs_2-fold_3,0.7466585245914855,0.30701754385964913,0.43783783783783786,0.4182464892830747
lr_1e-6-epochs_1-fold_4,0.4570236818840171,0.5526315789473685,0.49594594594594593,0.7878048780487804
lr_5e-5-epochs_3-fold_3,0.8153236945136386,0.30043859649122806,0.41486486486486485,0.23410938654841096
lr_3e-5-epochs_5-fold_3,0.5984727562939853,0.38596491228070173,0.4972972972972973,0.4556263858093127
lr_1e-6-epochs_2-fold_4,0.48271723620885626,0.5372807017543859,0.5013513513513513,0.7828436807095343
lr_2e-6-epochs_1-fold_4,0.5344147110906887,0.49780701754385964,0.5013513513513513,0.7823355506282335
lr_1e-6-epochs_3-fold_4,0.5149839039503844,0.5175438596491229,0.49864864864864866,0.783859940872136
lr_5e-5-epochs_5-fold_3,0.5843547875670781,0.4232456140350877,0.5486486486486486,0.6257206208425721
lr_2e-6-epochs_2-fold_4,0.614315877584034,0.4692982456140351,0.5378378378378378,0.7909737620103473
lr_5e-6-epochs_1-fold_4,0.7215410288035987,0.43640350877192985,0.5486486486486486,0.7739929785661493
lr_2e-6-epochs_3-fold_4,0.6410033428189853,0.45614035087719296,0.5527027027027027,0.7813192904656319
lr_1e-6-epochs_5-fold_4,0.5614877828564979,0.4934210526315789,0.4891891891891892,0.7834719142645973
lr_5e-6-epochs_2-fold_4,0.7413668475120989,0.41228070175438597,0.5445945945945946,0.7649944567627495
lr_1e-5-epochs_1-fold_4,0.7598779763584234,0.40350877192982454,0.5432432432432432,0.6899482631189949
lr_5e-6-epochs_3-fold_4,0.7501689547778932,0.41228070175438597,0.5459459459459459,0.7564763488543976
lr_2e-6-epochs_5-fold_4,0.6733056153447214,0.4342105263157895,0.55,0.7881651884700664
lr_1e-5-epochs_2-fold_4,0.7695067192273896,0.3706140350877193,0.518918918918919,0.6642645971914266
lr_2e-5-epochs_1-fold_4,0.771757546198887,0.40131578947368424,0.47297297297297297,0.6210643015521065
lr_1e-5-epochs_3-fold_4,0.7815139288602976,0.39035087719298245,0.5297297297297298,0.6607723577235772
lr_5e-6-epochs_5-fold_4,0.7682780182780183,0.42543859649122806,0.5527027027027027,0.7784460458240946
lr_2e-5-epochs_2-fold_4,0.7714115751825249,0.3442982456140351,0.5243243243243243,0.6184035476718404
lr_2e-5-epochs_1-fold_2,0.7616649334526429,0.38377192982456143,0.4918918918918919,0.6633592017738359
lr_2e-5-epochs_2-fold_2,0.8105630661496582,0.35964912280701755,0.5175675675675676,0.692239467849224
lr_2e-5-epochs_3-fold_2,0.7932399950556375,0.37719298245614036,0.5297297297297298,0.5340724316334072
lr_1e-5-epochs_3-fold_2,0.8357329614312855,0.3574561403508772,0.5608108108108109,0.7886733185513672
lr_5e-6-epochs_5-fold_2,0.7948254156354715,0.41228070175438597,0.5527027027027027,0.7745011086474501
lr_1e-5-epochs_5-fold_2,0.8485762117047034,0.33771929824561403,0.5824324324324325,0.8013765705838876
